"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"98","PPGPPMET-PWY",0.07,0.129274193548387,0.271288554688953,-0.721626820555098,-1.44156323235561,3,"ECB_RS12700,ECB_RS18560,ECB_RS19345"
"99","PRPP-PWY",1.58792574026327e-14,1.81817497260145e-12,0.97599468306432,-0.710235839230708,-3.58666550623908,38,"ECB_RS13360,ECB_RS20625,ECB_RS05985,ECB_RS11775,ECB_RS00185,ECB_RS06280,ECB_RS12895,ECB_RS20620,ECB_RS02460,ECB_RS13355,ECB_RS12700,ECB_RS12600,ECB_RS00190,ECB_RS12645,ECB_RS12650,ECB_RS12480,ECB_RS02455,ECB_RS05625,ECB_RS09625,ECB_RS05010,ECB_RS11385,ECB_RS02225"
"100","PWY-1269",0.0431034482758621,0.094824016563147,0.376039306993639,-0.679194719421334,-1.63822301428425,5,"ECB_RS14890,ECB_RS04870,ECB_RS06320"
"101","PWY-1801",0.56,0.650964467005076,0.0850427463764322,-0.460291288815609,-0.919504346609158,3,"ECB_RS10985,ECB_RS01630,ECB_RS01635"
"102","PWY-40",0.7325,0.802595693779904,0.0709609456938284,-0.399113334053743,-0.797291746268749,3,"ECB_RS14630,ECB_RS14625"
"103","PWY-4261",0.132569558101473,0.203747844330452,0.154190966581424,0.637713029136888,1.28987284612541,4,"ECB_RS11420,ECB_RS11430,ECB_RS17330,ECB_RS11425"
"104","PWY-5084",0.0525,0.10364224137931,0.315324831550005,-0.760183505017981,-1.51858628235876,3,"ECB_RS03620,ECB_RS03615"
"105","PWY-5162",0.0415282392026578,0.094158086905036,0.287857117255149,0.793507637419637,1.45438327667014,3,"ECB_RS01605,ECB_RS01615,ECB_RS01610"
"106","PWY-5188",0.00166502999107578,0.00886725274317103,0.45505986738723,-0.699146710707404,-2.18289933883907,9,"ECB_RS12145,ECB_RS00800,ECB_RS20635,ECB_RS20435,ECB_RS19250,ECB_RS13100,ECB_RS19480,ECB_RS19485,ECB_RS01675"
"107","PWY-5386",0.2425,0.324751461988304,0.139599673451922,-0.60162623016616,-1.20184315261607,3,"ECB_RS10870,ECB_RS10985"
"108","PWY-5437",0.672667757774141,0.755102532011168,0.0546808488785442,0.431329650731933,0.872430668322525,4,"ECB_RS15775,ECB_RS15765"
"109","PWY-5453",0.472477064220183,0.569459198454853,0.0683110858318647,0.449451814349616,0.991596643436774,5,"ECB_RS20320,ECB_RS01065,ECB_RS15250,ECB_RS15195"
"110","PWY-5484",0.909620991253644,0.929925031236985,0.0354665010333725,0.218395798441344,0.608272109793655,10,"ECB_RS14595,ECB_RS10700,ECB_RS13865,ECB_RS01735,ECB_RS20205,ECB_RS09655,ECB_RS18375,ECB_RS08685"
"111","PWY-5485",0.782392026578073,0.837232589188686,0.0484087618816951,0.430716359064289,0.789440000411835,3,"ECB_RS12380"
"112","PWY-5659",0.109634551495017,0.178094276328772,0.172324344900946,0.726269152566265,1.3311449821562,3,"ECB_RS10360,ECB_RS10355"
"113","PWY-5667",0.0502020981699469,0.101736995406353,0.321775918075361,-0.78168461948529,-1.56153814499449,3,"ECB_RS20820,ECB_RS18355"
"114","PWY-5668",0.863787375415282,0.895055696697284,0.0438879842863647,0.391972676174826,0.718428504348255,3,"ECB_RS04035,ECB_RS06670,ECB_RS01920"
"115","PWY-5686",0.00174759346526563,0.00909542962604157,0.45505986738723,-0.738756637446567,-2.05782429172696,7,"ECB_RS00185,ECB_RS00190,ECB_RS05625,ECB_RS05010"
"116","PWY-5698",0.36046511627907,0.460632183908046,0.086794975677172,0.598805650030227,1.0975230512104,3,"ECB_RS02405,ECB_RS02425,ECB_RS02420"
"117","PWY-5705",0.109656301145663,0.178094276328772,0.170932335370056,0.653967874678711,1.32275077542025,4,"ECB_RS02405,ECB_RS02375,ECB_RS02425,ECB_RS02420"
"118","PWY-5837",0.181034482758621,0.252785954583684,0.176694268938498,-0.516359637063514,-1.24546351273994,5,"ECB_RS02925,ECB_RS08735,ECB_RS11530,ECB_RS11535,ECB_RS11520"
"119","PWY-5838",0.123493975903614,0.193699455355669,0.222056046145248,-0.516643741403026,-1.43912350473433,7,"ECB_RS02925,ECB_RS08735,ECB_RS16130,ECB_RS11530,ECB_RS19720,ECB_RS11535,ECB_RS11520"
"120","PWY-5966",0.0257643890220518,0.065556056511665,0.352487857583619,-0.8213794998626,-1.64083492060583,3,"ECB_RS05770,ECB_RS05790,ECB_RS11830"
"121","PWY-5971",0.00292760706998911,0.0137811078993519,0.431707695803346,-0.82183117954358,-1.98226327986138,5,"ECB_RS00925,ECB_RS05780,ECB_RS05055,ECB_RS06730,ECB_RS11830"
"122","PWY-5973",0.00145225817192065,0.00811139320414219,0.45505986738723,-0.797318151324184,-2.09370128795272,6,"ECB_RS00925,ECB_RS05780,ECB_RS05055,ECB_RS06730,ECB_RS05790"
"123","PWY-5989",0.000665439553613245,0.00496457808164648,0.477270815362862,-0.881803188565146,-1.97648092386062,4,"ECB_RS00925,ECB_RS05780,ECB_RS05055,ECB_RS06730"
