"","pre_lac25_01","pre_lac01_02","pre_lac25_03","pre_lac01_04","pre_lac01_05","pre_lac25_06","pre_lac25_07","pre_lac25_08","pre_lac50_09","pre_lac50_10","pre_lac50_11","pre_lac50_12","pre_lac50_13","pre_lac50_14","pre_lac50_15","pre_lac50_16","pre_lac01_17","pre_lac25_18","pre_lac25_19","pre_lac01_20","pre_lac01_21","pre_lac01_22","pre_lac25_23"
"ECB_RS08655",2.99045148390992,1.55291234716522,5.08201853599994,21.7722101408639,21.2241602805322,0.694336554872717,1.52298486613833,5.11173737522449,31.4715028065094,18.8002065681502,18.5840114921176,16.725594486875,18.3900719918628,28.0633970965992,26.9405683943401,14.1634196156422,20.8527118984834,7.65424849469387,9.95455395488871,30.6937967533653,10.6671465111794,19.189002638144,4.93711368208507
"ECB_RS08660",1.99363432260662,7.7645617358261,5.08201853599994,1.55515786720456,4.24483205610645,2.08300966461815,1.52298486613833,0.638967171903061,36.6097073463477,11.5693578880924,17.0353438677744,9.5574825639286,1.08176894069781,33.372688439199,23.6750449526019,14.1634196156422,5.21317797462086,4.46497828857142,4.97727697744436,21.6662094729638,2.66678662779484,21.4465323602786,5.75996596243258
"ECB_RS08665",3.98726864521323,0,6.35252316999993,6.22063146881826,0,7.63770210359989,3.80746216534583,5.11173737522449,14.772338052035,16.6309519641329,10.0663395582303,8.36279724343752,6.49061364418687,25.7879865211992,13.0620937669528,14.1634196156422,0,8.29210253591836,9.12500779198132,16.2496571047228,2.66678662779484,18.0602377770767,7.4056705231276
"ECB_RS08670",1.99363432260662,7.7645617358261,1.90575695099998,17.1067365392502,4.24483205610645,0.694336554872717,0.761492433069165,3.19483585951531,71.9348635577358,38.3234980043062,40.2653582329214,22.6990210893304,21.6353788139562,74.3300787963978,29.3897109756437,55.0799651719419,0,18.4977671955102,9.95455395488871,64.0958696908511,8.00035988338452,49.6656538869609,7.4056705231276
"ECB_RS08675",0,0,0.635252316999993,7.77578933602282,0,0,0.761492433069165,0,26.9755738341509,18.8002065681502,18.5840114921176,11.9468532049107,11.8994583476759,29.5803374801991,13.8784746273873,36.195405684419,0,3.82712424734693,1.65909232581479,15.3468983766827,18.6675063945639,16.9314729160094,0.822852280347512
"ECB_RS08680",11.463397354988,10.8703864301565,13.3402986569998,146.184839517229,8.4896641122129,20.1357600913088,4.56895459841499,12.7793434380612,98.9104373918867,113.524324276907,151.769427185627,138.583497176965,231.498553309332,126.664522030596,129.804556809093,158.158185708005,125.116271390901,32.5305561024489,63.8750545438693,78.5400093394936,125.338971506358,97.0737780517872,65.0053301474534
"ECB_RS08685",1753.40138673252,3882.28086791305,1320.05431472598,990.635561409307,3277.01034731418,1531.70644004921,2015.67047033408,1932.87569500676,608.234962403355,765.023790350112,615.595380676394,1028.62406094282,1383.5824751525,335.24382477559,847.403333131061,723.121257043066,792.40305214237,968.900288619999,895.080309777077,372.839354680585,677.36380345989,407.484114845293,1339.60351240575
"ECB_RS08690",20043.0026623256,46559.4179927076,14756.9113239098,119493.665042397,35839.1170497068,34223.1544531214,17884.4112830624,9945.52403067115,27984.5887506616,59509.8846368754,44966.3388066149,71112.4490169107,99968.4313477661,34389.038496211,41228.8662136655,44632.8694921151,174495.493166509,27039.9085155885,37202.6567679079,68063.4943005876,163871.371491365,87144.0335689782,35657.4807165791
"ECB_RS08695",68.2819755492766,3733.20128258519,82.582801209999,1199.02671561472,3799.12469021527,89.5694155785805,34.2671594881124,23.0028181885102,50.0974942634231,46.2774315523697,52.6546992276664,53.7608394220984,53.0066780941928,49.3005624669985,52.2483750678111,51.9325385906881,771.550340243886,19.7734752779592,16.5909232581479,490.197989325805,976.043905772912,520.360600952022,17.2798978872977
"ECB_RS08700",183.91276626046,102.492214912904,195.022461318998,65.3166304225917,59.4276487854903,159.003071065852,6.09193946455332,15.9741792975765,24.4064715642318,10.1231881520809,14.7123424312597,10.7521678844197,17.308303051165,21.9956355621993,15.5112363482564,15.7371329062691,52.1317797462086,10.8435187008163,9.95455395488871,39.7213840337669,69.3364523226659,56.4382430533646,12.3427842052127
"ECB_RS08705",396.234821618065,436.368369553427,452.934902020995,122.857471509161,420.238373554538,340.224911887631,40.3590989526657,28.7535227356378,41.7479118861859,37.6004131363004,39.4910244207498,19.1149651278572,24.8806856360497,49.3005624669985,27.7569492547746,36.9822623297324,88.6240255685545,29.3412858963265,19.07956174687,111.942082276979,130.672544761947,92.558718607518,26.3312729711204
"ECB_RS08710",139.554402582463,330.770329946192,232.502348021997,122.857471509161,237.710595141961,163.863426949961,17.5143259605908,12.1403762661582,31.4715028065094,28.9233947202311,38.7166906085783,20.3096504483483,16.2265341104672,30.3388076719991,18.7767597899946,23.6056993594037,62.5581356954503,17.2220591130612,17.4204694210553,66.8041458749716,133.339331389742,53.0519484701628,21.3941592890353
"ECB_RS08715",262.661322003422,641.352799379236,257.277188384997,113.526524305933,577.297159630477,174.278475273052,9.89940162989915,16.6131464694796,17.3414403219542,17.3540368321386,17.0353438677744,17.9202798073661,18.3900719918628,29.5803374801991,17.1439980691255,22.8188427140902,88.6240255685545,14.0327889069388,9.12500779198132,45.1379364020078,85.3371720894349,60.9533024976338,17.2798978872977
"ECB_RS08720",477.475420264285,1681.80407197993,360.188063738996,225.497890744662,1201.28747187813,402.020865271303,28.9367124566283,27.4755883918316,53.9511476683018,34.7080736642773,47.2343625424655,48.9820981401341,38.9436818651212,58.4022047685982,35.9207578591201,31.4742658125382,245.01936480718,33.8062641848979,24.0568387243144,138.122085390144,250.677943012715,116.262780689931,40.3197617370281
"ECB_RS08725",55.8217610329853,459.662054760905,88.300072062999,139.964208048411,386.279717105687,50.6865685057084,5.33044703148416,8.3065732347398,9.63413351219675,7.95393354806355,6.19467049737252,4.7787412819643,12.9812272883737,15.9278740277995,8.98018946478003,9.44227974376147,93.8372035431754,5.7406863710204,4.97727697744436,54.1655236824094,122.672184878563,56.4382430533646,5.75996596243258
"ECB_RS08730",155.005068582664,32.6111592904696,139.755509739998,12.4412629376365,55.1828167293838,154.142715181743,130.976698487896,104.151649020199,100.837264094326,141.724634129132,130.088080444823,183.981539355626,229.335015427936,84.1901912897975,177.154646714297,200.648444554931,0,67.6125283697958,85.4432547794615,9.02758728040157,8.00035988338452,1.12876486106729,74.0567052312761
"ECB_RS08735",37.3806435488741,4.65873704149566,39.3856436539995,0,4.24483205610645,26.3847890851633,46.4510384172191,122.042729833485,19.9105425918733,23.1387157761849,20.1326791164607,20.3096504483483,29.2077613988409,20.4786951785994,12.2457129065182,17.310846196896,0,49.7526152155101,37.3295773308327,5.41655236824094,5.33357325558968,11.2876486106729,68.2967392688435
"ECB_RS08740",201.357066583268,10.8703864301565,221.067806315997,17.1067365392502,8.4896641122129,193.719898809488,394.453080329827,739.923985063745,141.300624845552,83.1547598206643,126.990745196137,71.6811192294645,38.9436818651212,120.596760496196,87.3527520664966,70.0302414328975,10.4263559492417,307.445647870204,314.397995741902,95.6924251722566,26.6678662779484,89.1724240243161,411.426140173756
"ECB_RS08745",25.4188376132344,79.1985297054262,29.2216065819997,48.2098938833415,55.1828167293838,36.799837408254,31.9826821889049,44.7277020332143,71.292587990256,65.0776381205199,77.4333812171565,54.9555247425894,58.4155227976818,72.0546682209978,53.0647559282456,71.6039547235245,57.3449577208294,52.9418854216326,52.2614082631658,82.1510442516542,61.3360924392813,73.369715969374,69.9424438295385
"ECB_RS22945",0.996817161303308,10.8703864301565,0.635252316999993,7.77578933602282,0,0.694336554872717,2.2844772992075,1.27793434380612,7.7073068097574,6.50776381205199,5.42033668520096,2.38937064098215,3.24530682209343,8.34317210979975,4.89828516260729,5.50799651719419,15.6395339238626,1.91356212367347,3.31818465162957,8.12482855236141,8.00035988338452,15.8027080549421,2.46855684104254
